Baseline 100%T,,TigE_30x_2ndbase,,TigE_60x_2ndbase1,,TigE_90x_2ndbase,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
750.012146,-0.00622720737,750.012146,0.004528828897,750.012146,0.005924863275,750.012146,0.001743991859,
748.9874878,-0.006777321454,748.9874878,0.004744183272,748.9874878,0.006417249795,748.9874878,0.00188176136,
747.9979248,-0.007089249324,747.9979248,0.005090999417,747.9979248,0.006612226367,747.9979248,0.002080980688,
747.0078735,-0.007377743721,747.0078735,0.005061640404,747.0078735,0.006361242849,747.0078735,0.001696432475,
746.0176392,-0.00809809193,746.0176392,0.005214666016,746.0176392,0.006527419202,746.0176392,0.001919512637,
744.9915161,-0.008489195257,744.9915161,0.005300081801,744.9915161,0.006527287886,744.9915161,0.001940729679,
744.0004883,-0.008793047629,744.0004883,0.005482760724,744.0004883,0.006226430647,744.0004883,0.001835590694,
743.0090942,-0.00921708066,743.0090942,0.00525289122,743.0090942,0.00640164502,743.0090942,0.001840087934,
742.017334,-0.009749855846,742.017334,0.005133640952,742.017334,0.006264351308,742.017334,0.001869204338,
740.9897461,-0.01025209576,740.9897461,0.005267983302,740.9897461,0.006185467355,740.9897461,0.00173559715,
739.9973145,-0.01094810851,739.9973145,0.005527852569,739.9973145,0.006543238647,739.9973145,0.002046960406,
739.0045166,-0.01137387659,739.0045166,0.005330741405,739.0045166,0.006431777962,739.0045166,0.002030367497,
738.0114136,-0.01197790354,738.0114136,0.005511099938,738.0114136,0.006565970834,738.0114136,0.00186964625,
736.9823608,-0.01261483785,736.9823608,0.00553556066,736.9823608,0.006508604623,736.9823608,0.001946840202,
735.9884644,-0.01308650058,735.9884644,0.005359254312,735.9884644,0.006370909512,735.9884644,0.001899518655,
734.9942627,-0.01370029245,734.9942627,0.005196432117,734.9942627,0.006470951717,734.9942627,0.00193503534,
733.9996948,-0.01429658663,733.9996948,0.005354038905,733.9996948,0.006477809045,733.9996948,0.00185061642,
733.0048218,-0.01499085408,733.0048218,0.005252839066,733.0048218,0.006392161362,733.0048218,0.001867930405,
732.0095825,-0.01574797742,732.0095825,0.005495160818,732.0095825,0.006512046792,732.0095825,0.001809959766,
731.0139771,-0.01640927233,731.0139771,0.00557926856,731.0139771,0.006570990197,731.0139771,0.001904692501,
729.9824829,-0.01700504683,729.9824829,0.005715112668,729.9824829,0.006464015227,729.9824829,0.002107121749,
728.986145,-0.01759065874,728.986145,0.005583647173,728.986145,0.006592987571,728.986145,0.001920734649,
727.989502,-0.01833994128,727.989502,0.005793203134,727.989502,0.006709432229,727.989502,0.002134460956,
726.9924927,-0.01876660995,726.9924927,0.005722010974,726.9924927,0.006682855077,726.9924927,0.001985403243,
725.9951782,-0.01906087995,725.9951782,0.006061104126,725.9951782,0.006476469338,725.9951782,0.002180767478,
724.9974976,-0.01928537712,724.9974976,0.005746588577,724.9974976,0.006489343941,724.9974976,0.002018846339,
723.9995117,-0.01957835816,723.9995117,0.006087853573,723.9995117,0.006823594216,723.9995117,0.002066103043,
723.0010986,-0.01967049763,723.0010986,0.00604189001,723.0010986,0.006920557935,723.0010986,0.002004568931,
722.0024414,-0.01981678419,722.0024414,0.006150992587,722.0024414,0.007006810047,722.0024414,0.002407923108,
721.0033569,-0.01961874031,721.0033569,0.006210543681,721.0033569,0.0069267652,721.0033569,0.00207187701,
720.0039673,-0.01921891235,720.0039673,0.005944334902,720.0039673,0.006838346366,720.0039673,0.002049067058,
719.0042725,-0.01898436993,719.0042725,0.00608620001,719.0042725,0.006741979159,719.0042725,0.002060875064,
718.0042725,-0.01863946207,718.0042725,0.005950292107,718.0042725,0.006638352759,718.0042725,0.002250132617,
717.0038452,-0.01834688894,717.0038452,0.006220495794,717.0038452,0.006943467539,717.0038452,0.00221224851,
716.0031128,-0.01790440828,716.0031128,0.006228426471,716.0031128,0.006904751062,716.0031128,0.002280629473,
715.0020752,-0.0173410587,715.0020752,0.006212670822,715.0020752,0.006697102915,715.0020752,0.00209315354,
714.0006104,-0.01691169292,714.0006104,0.006223436911,714.0006104,0.006820832845,714.0006104,0.002179492731,
712.9988403,-0.01629798859,712.9988403,0.006072654389,712.9988403,0.00671968516,712.9988403,0.002109176712,
711.9968262,-0.01575960964,711.9968262,0.006274226122,711.9968262,0.006847366225,711.9968262,0.00225900556,
710.9943848,-0.01530233864,710.9943848,0.006343381014,710.9943848,0.006995077245,710.9943848,0.002398994984,
709.9916382,-0.01470907591,709.9916382,0.006413519382,709.9916382,0.007116997615,709.9916382,0.002389025874,
708.9885254,-0.01393509749,708.9885254,0.006530520041,708.9885254,0.006760146935,708.9885254,0.002292027464,
707.9851074,-0.01318520214,707.9851074,0.00647297455,707.9851074,0.007081528194,707.9851074,0.002144216327,
707.0171509,-0.01263349503,707.0171509,0.006264430005,707.0171509,0.007185576484,707.0171509,0.002318701707,
706.0131226,-0.01169537287,706.0131226,0.006604473107,706.0131226,0.006811392959,706.0131226,0.00235417462,
705.008667,-0.01097072475,705.008667,0.006334082689,705.008667,0.006880896632,705.008667,0.00221295096,
704.0039063,-0.01040967554,704.0039063,0.006577639375,704.0039063,0.007104262244,704.0039063,0.002323073801,
702.9988403,-0.009598265402,702.9988403,0.006578769535,702.9988403,0.006987237837,702.9988403,0.002284194576,
701.9934692,-0.008972356096,701.9934692,0.006644871552,701.9934692,0.007210447453,701.9934692,0.002339599887,
700.9876709,-0.008219981566,700.9876709,0.006578191184,700.9876709,0.007173839025,700.9876709,0.002404773375,
700.0175781,-0.007510979194,700.0175781,0.00660581328,700.0175781,0.007167233154,700.0175781,0.002442023484,
699.0111694,-0.006831397302,699.0111694,0.006573854946,699.0111694,0.00704808766,699.0111694,0.002208996098,
698.0044556,-0.006253081374,698.0044556,0.006733382121,698.0044556,0.007151364814,698.0044556,0.002349672141,
696.9974365,-0.005407937802,696.9974365,0.006430726964,696.9974365,0.00702490937,696.9974365,0.002009848133,
695.9900513,-0.005057802889,695.9900513,0.006635698024,695.9900513,0.00726590585,695.9900513,0.002114066854,
694.9822998,-0.00472464459,694.9822998,0.006780812982,694.9822998,0.007268248592,694.9822998,0.002603034955,
694.0103149,-0.004052123521,694.0103149,0.006947965361,694.0103149,0.007170417812,694.0103149,0.002111647744,
693.0019531,-0.003749400377,693.0019531,0.007022831123,693.0019531,0.007369208615,693.0019531,0.002252656501,
