Baseline 100%T,,TigE_100x,,TigE_200x,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
734.0025635,-0.01181444339,734.0025635,0.0960726887,734.0025635,0.05032494292,
733.0076294,-0.01228964329,733.0076294,0.09615501761,733.0076294,0.05031607673,
732.0122681,-0.01334985439,732.0122681,0.09662205726,732.0122681,0.05086067319,
731.0166016,-0.013900402,731.0166016,0.09725054353,731.0166016,0.05108930171,
729.9849854,-0.01469641365,729.9849854,0.09806822985,729.9849854,0.05127886683,
728.9886475,-0.01531468332,728.9886475,0.09849975258,728.9886475,0.05166192353,
727.9919434,-0.0156209413,727.9919434,0.09863062203,727.9919434,0.05168591812,
726.994812,-0.0162959937,726.994812,0.09942387044,726.994812,0.05203259364,
725.9974365,-0.01656174287,725.9974365,0.09955322742,725.9974365,0.05231317133,
724.9996948,-0.01698617823,724.9996948,0.1002562344,724.9996948,0.05274393409,
724.0015869,-0.01727359742,724.0015869,0.1007464081,724.0015869,0.05285828933,
723.0031738,-0.01700121351,723.0031738,0.1009834707,723.0031738,0.05272966996,
722.0043945,-0.01713998988,722.0043945,0.1015967205,722.0043945,0.05319223925,
721.005249,-0.01701500453,721.005249,0.1017084345,721.005249,0.05337933078,
720.0057983,-0.01688285917,720.0057983,0.1025487632,720.0057983,0.05364727601,
719.0060425,-0.01683953404,719.0060425,0.1029869616,719.0060425,0.05420134962,
718.0058594,-0.01654370315,718.0058594,0.1032932475,718.0058594,0.05438863859,
717.0054321,-0.01627589762,717.0054321,0.1036566719,717.0054321,0.05450205132,
716.0045776,-0.01562618464,716.0045776,0.1041817591,716.0045776,0.05495808274,
715.003418,-0.01508812327,715.003418,0.1046341658,715.003418,0.05517920852,
714.0019531,-0.01452851575,714.0019531,0.1050003543,714.0019531,0.05538894981,
713.0001221,-0.01385657582,713.0001221,0.1053084657,713.0001221,0.05550818145,
711.9979858,-0.01309132297,711.9979858,0.1054180413,711.9979858,0.05566181615,
710.9954834,-0.01235934068,710.9954834,0.1060106158,710.9954834,0.055946365,
709.9926758,-0.01163575053,709.9926758,0.1063658744,709.9926758,0.05619536713,
708.9894409,-0.01074527111,708.9894409,0.1065298617,708.9894409,0.05629607663,
707.9859619,-0.0101369461,707.9859619,0.1070860624,707.9859619,0.05665559694,
706.9821167,-0.009158332832,706.9821167,0.1071456298,706.9821167,0.0569136776,
706.013855,-0.008279566653,706.013855,0.1076288894,706.013855,0.0569307059,
705.0093384,-0.007305307314,705.0093384,0.1077767685,705.0093384,0.05709405616,
704.0045166,-0.00665074354,704.0045166,0.1079547629,704.0045166,0.05737721175,
702.9993286,-0.005677213427,702.9993286,0.1081145108,702.9993286,0.05743893236,
701.9938354,-0.005167861003,701.9938354,0.1085195467,701.9938354,0.05777352303,
700.9880371,-0.00434407685,700.9880371,0.1090194434,700.9880371,0.0577875711,
700.0178223,-0.003707156284,700.0178223,0.1091991514,700.0178223,0.05820748955,
699.0113525,-0.002800150542,699.0113525,0.1095663831,699.0113525,0.05859869346,
698.0045166,-0.001622036449,698.0045166,0.109525539,698.0045166,0.05873185024,
696.9974365,-0.001166407135,696.9974365,0.1097136587,696.9974365,0.05875588581,
695.9900513,-0.0007507685805,695.9900513,0.1101807356,695.9900513,0.05886836722,
694.9822388,5.402737588E-005,694.9822388,0.1101684868,694.9822388,0.05874945223,
694.0100708,0.0006526353536,694.0100708,0.1102303788,694.0100708,0.05880238488,
693.0015869,0.001175336423,693.0015869,0.1102279723,693.0015869,0.0589841716,
691.9927979,0.001959581394,691.9927979,0.1108516529,691.9927979,0.05879974738,
690.9838257,0.00240115542,690.9838257,0.1108499467,690.9838257,0.05935002118,
690.010498,0.003147045616,690.010498,0.1108323038,690.010498,0.05912619829,
689.0007324,0.003601209261,689.0007324,0.1110420823,689.0007324,0.05910418928,
687.9906616,0.003753512166,687.9906616,0.1117772758,687.9906616,0.05971843377,
687.0163574,0.004712047521,687.0163574,0.1115687862,687.0163574,0.05914565548,
686.0057373,0.005092335399,686.0057373,0.1118173227,686.0057373,0.05934052169,
684.9946899,0.00547135761,684.9946899,0.111913681,684.9946899,0.05940741673,
683.9833374,0.005908646155,683.9833374,0.1124124005,683.9833374,0.05947263166,
683.0078125,0.006549335551,683.0078125,0.112434566,683.0078125,0.05912830308,
681.9959106,0.007277751341,681.9959106,0.1122843549,681.9959106,0.05914162099,
680.9835815,0.00718165515,680.9835815,0.1128396243,680.9835815,0.05966847762,
680.0071411,0.008187836036,680.0071411,0.1127932072,680.0071411,0.05947120488,
678.9942017,0.008423329331,678.9942017,0.1129671931,678.9942017,0.05957490951,
678.0171509,0.008647013456,678.0171509,0.1133323908,678.0171509,0.05992066115,
677.0036621,0.008988584392,677.0036621,0.1133749709,677.0036621,0.05994975194,
675.9897461,0.009477606975,675.9897461,0.1138223186,675.9897461,0.0598192811,
675.0117798,0.009660754353,675.0117798,0.1139713749,675.0117798,0.06012788787,
673.9972534,0.0100033097,673.9972534,0.1145387143,673.9972534,0.06027810648,
672.9824829,0.009999441914,672.9824829,0.1149317771,672.9824829,0.06073325127,
672.0036011,0.01046311297,672.0036011,0.1149193347,672.0036011,0.06041341648,
670.9881592,0.01047708746,670.9881592,0.1155780554,670.9881592,0.06089991331,
670.008728,0.010982126,670.008728,0.1157200187,670.008728,0.06088189408,
668.9926147,0.01114678662,668.9926147,0.1163701117,668.9926147,0.06128568202,
668.0125732,0.01103493478,668.0125732,0.1167851239,668.0125732,0.0615718551,
666.9958496,0.01055208687,666.9958496,0.1170147061,666.9958496,0.06161618233,
666.0151978,0.01062333304,666.0151978,0.1171859875,666.0151978,0.06162277609,
664.9979248,0.01056253724,664.9979248,0.1173078567,664.9979248,0.06154429168,
664.0166016,0.01069183089,664.0166016,0.1175713092,664.0166016,0.06181971356,
662.9987183,0.0104367286,662.9987183,0.1179621369,662.9987183,0.06187075377,
662.0169067,0.01031588763,662.0169067,0.1185101271,662.0169067,0.06230223179,
660.9983521,0.01055084076,660.9983521,0.1185005307,660.9983521,0.06221881509,
660.0158691,0.01046109758,660.0158691,0.1193183511,660.0158691,0.06230411306,
658.9967651,0.01087350119,658.9967651,0.1196386293,658.9967651,0.06268198043,
658.0137329,0.01115398388,658.0137329,0.1197040305,658.0137329,0.06251050532,
656.9940186,0.01092786342,656.9940186,0.1202015802,656.9940186,0.06318030506,
656.010376,0.01096699294,656.010376,0.1203654483,656.010376,0.06312964857,
654.9900513,0.0108463224,654.9900513,0.1210693642,654.9900513,0.06336759031,
654.0057983,0.01080975123,654.0057983,0.1215396449,654.0057983,0.06351938099,
652.9848022,0.01095432974,652.9848022,0.1216743588,652.9848022,0.06393951923,
652.000061,0.01091100648,652.000061,0.1224215776,652.000061,0.06427015364,
651.0149536,0.01088295039,651.0149536,0.1231862754,651.0149536,0.06460149586,
649.993103,0.01098464802,649.993103,0.1235775799,649.993103,0.06447964907,
649.0074463,0.01099502854,649.0074463,0.1238137409,649.0074463,0.06491318345,
647.9849243,0.01104404218,647.9849243,0.1240888834,647.9849243,0.06507565826,
646.9987183,0.0112154996,646.9987183,0.1247514337,646.9987183,0.06536439806,
646.012207,0.0110661611,646.012207,0.1256326586,646.012207,0.06586572528,
644.9888306,0.01136927493,644.9888306,0.1257848591,644.9888306,0.06580598652,
644.001709,0.01115512569,644.001709,0.1265602261,644.001709,0.0661137253,
643.0143433,0.0110020116,643.0143433,0.1274500191,643.0143433,0.06693204492,
641.9901123,0.01099744439,641.9901123,0.1282388717,641.9901123,0.06713896245,
641.0021362,0.0111796679,641.0021362,0.128231734,641.0021362,0.067280747,
640.013916,0.01111898012,640.013916,0.1288223714,640.013916,0.06775116175,
638.9887695,0.01105129067,638.9887695,0.1293711364,638.9887695,0.06794781238,
637.9998779,0.01089380682,637.9998779,0.1303520948,637.9998779,0.06844315678,
637.0108643,0.01101897657,637.0108643,0.1306423992,637.0108643,0.06875938177,
635.9848022,0.01116163284,635.9848022,0.1310426444,635.9848022,0.06880784035,
634.9951782,0.01075444836,634.9951782,0.1320790946,634.9951782,0.06958334893,
634.005188,0.01112402603,634.005188,0.1324104518,634.005188,0.06956067681,
633.0150146,0.01115475409,633.0150146,0.1330533624,633.0150146,0.07014390081,
631.987854,0.01089149714,631.987854,0.1335559934,631.987854,0.07047917694,
630.9970093,0.01088947989,630.9970093,0.1342505962,630.9970093,0.07074530423,
630.0059814,0.0109515693,630.0059814,0.1346323192,630.0059814,0.07107070833,
629.0146484,0.0107470192,629.0146484,0.1356598288,629.0146484,0.07168176025,
627.9862671,0.01063237805,627.9862671,0.1364018619,627.9862671,0.0718722567,
626.9943848,0.01078069303,626.9943848,0.1367846578,626.9943848,0.0723804459,
626.0022583,0.01097365655,626.0022583,0.1373027712,626.0022583,0.07251912355,
625.0097656,0.01082997397,625.0097656,0.1378554404,625.0097656,0.07303117216,
624.0170898,0.0106718,624.0170898,0.1386014819,624.0170898,0.07327174395,
622.9873047,0.01059431303,622.9873047,0.139292419,622.9873047,0.07397478074,
621.9939575,0.01023827866,621.9939575,0.1402802914,621.9939575,0.07419767231,
621.0004883,0.01022322476,621.0004883,0.1407178789,621.0004883,0.07461867481,
620.0065918,0.01024933066,620.0065918,0.1413074732,620.0065918,0.07490808517,
619.0125122,0.01000187919,619.0125122,0.1419621259,619.0125122,0.07556950301,
618.0181274,0.01013463642,618.0181274,0.1425712556,618.0181274,0.07584786415,
616.9866333,0.01001626253,616.9866333,0.1432002783,616.9866333,0.07639301568,
615.9917603,0.009752212092,615.9917603,0.1440851092,615.9917603,0.07660165429,
614.996582,0.009732304141,614.996582,0.1445251703,614.996582,0.07719128579,
614.0011597,0.009702285752,614.0011597,0.1450529844,614.0011597,0.07740955055,
613.0053101,0.00944324024,613.0053101,0.1458486319,613.0053101,0.07795552909,
612.0093384,0.009336031042,612.0093384,0.146274209,612.0093384,0.07857368141,
611.0131226,0.009159761481,611.0131226,0.1469311714,611.0131226,0.07878833264,
610.0165405,0.009037979878,610.0165405,0.147478953,610.0165405,0.07913963497,
608.9828491,0.009512399323,608.9828491,0.1481097341,608.9828491,0.07926756144,
607.9857178,0.009134328924,607.9857178,0.1489878744,607.9857178,0.07992974669,
606.9883423,0.008703844622,606.9883423,0.1494032443,606.9883423,0.08029791713,
605.9907837,0.008374530822,605.9907837,0.1502532661,605.9907837,0.0808307007,
604.9929199,0.008478441276,604.9929199,0.1506017447,604.9929199,0.08101801574,
603.994751,0.0086900061,603.994751,0.1512088031,603.994751,0.0814364776,
602.9963379,0.008528068662,602.9963379,0.1521087736,602.9963379,0.08173000067,
601.9976807,0.008201051503,601.9976807,0.1527299583,601.9976807,0.08241272718,
600.9987793,0.007917591371,600.9987793,0.1533246785,600.9987793,0.08294015378,
599.9995117,0.007729327306,599.9995117,0.1540772468,599.9995117,0.08319518715,
599.000061,0.007218474988,599.000061,0.1549269259,599.000061,0.0838849023,
598.0003052,0.006816625595,598.0003052,0.1554453224,598.0003052,0.08406455815,
597.0003662,0.00705711171,597.0003662,0.1560215354,597.0003662,0.0846984908,
596.000061,0.006868720055,596.000061,0.1570037305,596.000061,0.08536007255,
594.9996338,0.006408133544,594.9996338,0.1579185128,594.9996338,0.08588197082,
593.9987793,0.006423502229,593.9987793,0.1584803462,593.9987793,0.08612879366,
592.9978027,0.005980472546,592.9978027,0.1594203413,592.9978027,0.08680792153,
591.9963989,0.005590595771,591.9963989,0.1602387279,591.9963989,0.08718162775,
590.994873,0.005471042823,590.994873,0.1607904583,590.994873,0.08758836985,
589.993103,0.005273092538,589.993103,0.1617498547,589.993103,0.08802662045,
