Baseline 100%T,,100x,,200x,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
732.9822998,-0.01260070596,732.9822998,0.0744677484,732.9822998,0.0345813185,
731.9869995,-0.01317962725,731.9869995,0.0747892186,731.9869995,0.03460761532,
730.991333,-0.01392572187,730.991333,0.07530514896,730.991333,0.03485232964,
729.9952393,-0.01450638566,729.9952393,0.07554104179,729.9952393,0.03466982394,
728.9989624,-0.01534241997,728.9989624,0.07593150437,728.9989624,0.03520058468,
728.0022583,-0.01590951532,728.0022583,0.07621410489,728.0022583,0.03538946062,
727.0053101,-0.01657978259,727.0053101,0.0769476369,727.0053101,0.03558403999,
726.0078735,-0.01648558863,726.0078735,0.07690644264,726.0078735,0.03526108339,
725.0101929,-0.01680541784,725.0101929,0.07712465525,725.0101929,0.03566752374,
724.012085,-0.01720005646,724.012085,0.0778273344,724.012085,0.03597253188,
723.0137329,-0.01723021083,723.0137329,0.07813150436,723.0137329,0.03608579189,
722.0150146,-0.01709698886,722.0150146,0.07843591273,722.0150146,0.03616064787,
721.0159302,-0.01701868698,721.0159302,0.0786922276,721.0159302,0.03639855608,
720.0164795,-0.01713884622,720.0164795,0.07922887802,720.0164795,0.03693876043,
719.0166626,-0.01672372594,719.0166626,0.07941370457,719.0166626,0.03663673252,
718.0166016,-0.0164040383,718.0166016,0.07967565954,718.0166016,0.03681324795,
717.0161133,-0.01604350097,717.0161133,0.08020057529,717.0161133,0.03693382815,
716.0154419,-0.0155323334,716.0154419,0.08034962416,716.0154419,0.03717881441,
715.0142822,-0.01509352401,715.0142822,0.08083762228,715.0142822,0.03731450438,
714.0128784,-0.01422900241,714.0128784,0.08077841252,714.0128784,0.03730953857,
713.0110474,-0.01368012559,713.0110474,0.08134502918,713.0110474,0.03758304566,
712.0089111,-0.01310945768,712.0089111,0.08187353611,712.0089111,0.03783833981,
711.0064697,-0.01237021014,711.0064697,0.08220113069,711.0064697,0.03787194937,
710.0036621,-0.01161982212,710.0036621,0.08254306018,710.0036621,0.0382730104,
709.0005493,-0.010852281,709.0005493,0.08268764615,709.0005493,0.03828177601,
707.9970093,-0.009889905341,707.9970093,0.08278000355,707.9970093,0.03830976412,
706.9932861,-0.009207247756,706.9932861,0.08342166245,706.9932861,0.0384083651,
705.9890747,-0.008089961484,705.9890747,0.08338170499,705.9890747,0.0386968255,
704.9846802,-0.007535504643,704.9846802,0.0840004459,704.9846802,0.03892604634,
704.0157471,-0.006594503298,704.0157471,0.08410719037,704.0157471,0.03891792148,
703.0106201,-0.006138499826,703.0106201,0.08459125459,703.0106201,0.03928982839,
702.005127,-0.005174358375,702.005127,0.08473479748,702.005127,0.03913864866,
700.9993286,-0.004455545917,700.9993286,0.08503468335,700.9993286,0.03920473903,
699.9932251,-0.003822227009,699.9932251,0.08540034294,699.9932251,0.03954295069,
698.9868164,-0.002727821004,698.9868164,0.08540396392,698.9868164,0.03946002573,
698.0159912,-0.002001491608,698.0159912,0.08589764684,698.0159912,0.03964075446,
697.0089111,-0.001276526484,697.0089111,0.08586730063,697.0089111,0.03974751383,
696.0014648,-0.0007960401126,696.0014648,0.08630628884,696.0014648,0.03975142911,
694.9937744,-0.0002439326199,694.9937744,0.08649916947,694.9937744,0.03996179253,
693.9856567,0.000329679373,693.9856567,0.08669109643,693.9856567,0.03966693208,
693.0132446,0.0007571511669,693.0132446,0.08690672368,693.0132446,0.04006386176,
692.0045166,0.001028786995,692.0045166,0.0873792991,692.0045166,0.04016763344,
690.9954834,0.001304487349,690.9954834,0.08769704401,690.9954834,0.04078866169,
689.986145,0.001852046233,689.986145,0.08779500425,689.986145,0.0406572856,
689.0124512,0.002198146889,689.0124512,0.08822179586,689.0124512,0.04058440402,
688.0024414,0.003067865502,688.0024414,0.08780954778,688.0024414,0.04044692218,
686.9921265,0.003125091782,686.9921265,0.08871307969,686.9921265,0.04097594693,
686.0175781,0.003329108004,686.0175781,0.08882819861,686.0175781,0.04127400741,
685.0065918,0.004001372959,685.0065918,0.08925174177,685.0065918,0.04087289423,
683.9952393,0.004182696342,683.9952393,0.08929745853,683.9952393,0.04116337001,
682.9836426,0.004560977686,682.9836426,0.08925686032,682.9836426,0.04106206447,
682.0078735,0.004790899809,682.0078735,0.08970202506,682.0078735,0.04138617963,
680.9956055,0.005346150603,680.9956055,0.08977035433,680.9956055,0.04135844857,
679.9830933,0.005500691943,679.9830933,0.09031794965,679.9830933,0.04171084985,
679.0062866,0.005657779984,679.0062866,0.09043750912,679.0062866,0.04154270142,
677.993103,0.00585957896,677.993103,0.09073073417,677.993103,0.04174139723,
677.0157471,0.006004697178,677.0157471,0.09119273722,677.0157471,0.04210586101,
676.0018921,0.006370174233,676.0018921,0.09129200131,676.0018921,0.04198146984,
674.987793,0.006613172591,674.987793,0.09153856337,674.987793,0.04216584563,
674.0095215,0.006832534913,674.0095215,0.09189845622,674.0095215,0.04227990657,
672.994751,0.007091342472,672.994751,0.09200162441,672.994751,0.04230093583,
672.0159302,0.007079423405,672.0159302,0.0928555131,672.0159302,0.0425183624,
671.0005493,0.007422501687,671.0005493,0.09256629646,671.0005493,0.0426225476,
669.9848022,0.007855487056,669.9848022,0.09266424179,669.9848022,0.04259082302,
669.0050659,0.007682478055,669.0050659,0.09352232516,669.0050659,0.04324384406,
667.9887085,0.007541723549,667.9887085,0.09380093217,667.9887085,0.0432343483,
667.0083618,0.007359335199,667.0083618,0.09380250424,667.0083618,0.04317941889,
665.991394,0.00676763989,665.991394,0.094222866,665.991394,0.04348405823,
665.010437,0.006768428721,665.010437,0.09467919916,665.010437,0.04355714098,
663.9929199,0.006695551798,663.9929199,0.09487880021,663.9929199,0.04348689318,
663.0113525,0.006719843019,663.0113525,0.09502974898,663.0113525,0.04383778945,
661.9931641,0.006473342422,661.9931641,0.09533266723,661.9931641,0.04398425668,
661.0111084,0.006451508962,661.0111084,0.09570839256,661.0111084,0.04392926022,
659.9923096,0.006567100994,659.9923096,0.09590685368,659.9923096,0.04403690994,
659.0095215,0.006659170613,659.0095215,0.09632761031,659.0095215,0.0444900766,
657.9901123,0.006570937578,657.9901123,0.09670160711,657.9901123,0.04421763122,
657.0068359,0.006335737649,657.0068359,0.09750242531,657.0068359,0.04467340186,
655.9867554,0.006430359092,655.9867554,0.09739146382,655.9867554,0.04478587955,
655.0028687,0.006275906693,655.0028687,0.09785690904,655.0028687,0.04497820139,
653.9822998,0.006157714408,653.9822998,0.09835366905,653.9822998,0.0451165773,
652.9978027,0.006333820056,652.9978027,0.09851855785,652.9978027,0.04509472474,
652.0130005,0.006273254286,652.0130005,0.09897894412,652.0130005,0.045402091,
650.9915161,0.006290982012,650.9915161,0.09925388545,650.9915161,0.04563516378,
650.0061646,0.006126261316,650.0061646,0.09990310669,650.0061646,0.04587532952,
648.9839478,0.006170028355,648.9839478,0.1001929119,648.9839478,0.04597079754,
647.9981079,0.006390138529,647.9981079,0.1002545059,647.9981079,0.04606110603,
647.0118408,0.00608556997,647.0118408,0.1011095643,647.0118408,0.04654756933,
645.9888306,0.006181948818,645.9888306,0.101174131,645.9888306,0.04670261964,
645.0020752,0.006175673567,645.0020752,0.1016117632,645.0020752,0.04678766057,
644.0149536,0.006315670442,644.0149536,0.1022456139,644.0149536,0.04677924141,
642.9910278,0.006323103327,642.9910278,0.1027984843,642.9910278,0.04712086916,
642.003418,0.006252612453,642.003418,0.1028803289,642.003418,0.04713428393,
641.0154419,0.006306582596,641.0154419,0.1035562158,641.0154419,0.04745906591,
639.9906006,0.006348897237,639.9906006,0.1036042869,639.9906006,0.04758226499,
639.0021362,0.006432145834,639.0021362,0.1041110605,639.0021362,0.04748121276,
638.0134277,0.006298125722,638.0134277,0.1044975594,638.0134277,0.0479115136,
636.9876709,0.006361532025,636.9876709,0.1047917306,636.9876709,0.0479038842,
635.9983521,0.006262854207,635.9983521,0.1053370386,635.9983521,0.04823739827,
635.008667,0.006116337143,635.008667,0.105954513,635.008667,0.04852708057,
633.9821167,0.006459417287,633.9821167,0.1060850397,633.9821167,0.04856329411,
632.9919434,0.006434168667,632.9919434,0.1066207141,632.9919434,0.04872022569,
632.0014648,0.006354439538,632.0014648,0.1068591923,632.0014648,0.04900721833,
631.0106812,0.006159131881,631.0106812,0.1073747799,631.0106812,0.04932139814,
629.9830322,0.00622669328,629.9830322,0.1077655181,629.9830322,0.04940611124,
628.9916382,0.006219077855,628.9916382,0.1083504781,628.9916382,0.0496327281,
628.000061,0.006282761227,628.000061,0.1083871573,628.000061,0.04970557243,
627.0081787,0.006284100935,627.0081787,0.1089491397,627.0081787,0.04993208498,
626.0160522,0.006464987062,626.0160522,0.109457992,626.0160522,0.05009528995,
624.9868774,0.00633135112,624.9868774,0.1098239794,624.9868774,0.05022639036,
623.9941406,0.006333110854,623.9941406,0.1102055535,623.9941406,0.05040182918,
623.0012207,0.006262775511,623.0012207,0.1105956808,623.0012207,0.0505251959,
622.0079346,0.006101583131,622.0079346,0.1112116873,622.0079346,0.05101779476,
621.0144653,0.006284941453,621.0144653,0.1112918258,621.0144653,0.05096876994,
619.9838257,0.00616509188,619.9838257,0.1117521971,619.9838257,0.0510667637,
618.9897461,0.006095886696,618.9897461,0.1121265888,618.9897461,0.05132693425,
617.9954224,0.006125237327,617.9954224,0.1125207916,617.9954224,0.05146738142,
617.0007324,0.006063702982,617.0007324,0.1128765792,617.0007324,0.05165411159,
616.0058594,0.006105547305,616.0058594,0.1131159663,616.0058594,0.05160778388,
615.0106812,0.005901613738,615.0106812,0.1137418151,615.0106812,0.05197146535,
614.0151978,0.006045774557,614.0151978,0.1138515845,614.0151978,0.05199527368,
612.9827271,0.005836018361,612.9827271,0.1141002253,612.9827271,0.05247777328,
611.9866943,0.005727545358,611.9866943,0.1147676855,611.9866943,0.05255550891,
610.9904175,0.005730430596,610.9904175,0.115004465,610.9904175,0.05262253433,
609.9939575,0.005826153792,609.9939575,0.1153941005,609.9939575,0.05264059454,
608.9971313,0.005973386578,608.9971313,0.1157096475,608.9971313,0.05280277506,
608.0001831,0.005755349528,608.0001831,0.1162906289,608.0001831,0.05309166014,
607.0028076,0.005472615827,607.0028076,0.1166113615,607.0028076,0.05323446169,
606.005249,0.005456415936,606.005249,0.1168152019,606.005249,0.05322381109,
605.0073853,0.005612753332,605.0073853,0.1170910373,605.0073853,0.05329225957,
604.0092773,0.005739296321,604.0092773,0.1174403057,604.0092773,0.0535338819,
603.0108643,0.005796036217,603.0108643,0.1175732762,603.0108643,0.05355783552,
602.012207,0.005469286814,602.012207,0.1183240041,602.012207,0.05375530943,
601.0133057,0.005231564399,601.0133057,0.1185799167,601.0133057,0.05409513786,
600.0140991,0.005122665782,600.0140991,0.1188125908,600.0140991,0.05409314483,
599.0147095,0.004854688421,599.0147095,0.1194324344,599.0147095,0.05427252874,
598.0149536,0.004458628595,598.0149536,0.1198654249,598.0149536,0.05461097509,
597.0150757,0.004935896955,597.0150757,0.1199494228,597.0150757,0.05471954122,
596.0147705,0.004956318997,596.0147705,0.1201843023,596.0147705,0.05465077981,
595.0143433,0.004573298618,595.0143433,0.1209576949,595.0143433,0.05489189923,
594.0136108,0.00459624175,594.0136108,0.1212774366,594.0136108,0.05494198576,
593.0125122,0.004449161235,593.0125122,0.1214571893,593.0125122,0.05523394048,
