Baseline 100%T,,TigE_200x,,TigE_100x,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9908447,0.004120809492,799.9908447,0.01243129652,799.9908447,0.02630179189,
798.9859009,0.003828351852,798.9859009,0.01298229955,798.9859009,0.02666965127,
798.0151978,0.004047252238,798.0151978,0.01298283227,798.0151978,0.02660114504,
797.0095825,0.004065045621,797.0095825,0.01317835227,797.0095825,0.02652142383,
796.003479,0.003981152549,796.003479,0.01317458972,796.003479,0.02696432732,
794.9969482,0.004168112297,794.9969482,0.01362422202,794.9969482,0.02738366835,
793.9899292,0.004182983655,793.9899292,0.01361866575,793.9899292,0.02735747769,
792.982666,0.004478138871,792.982666,0.01331982389,792.982666,0.02746429294,
792.0097046,0.003918980714,792.0097046,0.01383074652,792.0097046,0.02794600651,
791.0016479,0.004115008283,791.0016479,0.01437073853,791.0016479,0.02784384787,
789.993103,0.004105548374,789.993103,0.0142011065,789.993103,0.02830545418,
788.9842529,0.004135026131,788.9842529,0.01374296844,788.9842529,0.02822906524,
788.0097046,0.00446315296,788.0097046,0.01433057804,788.0097046,0.02858622931,
787.000061,0.004259596579,787.000061,0.01447708346,787.000061,0.02859853394,
785.9899292,0.00480194483,785.9899292,0.01424903888,785.9899292,0.02855167165,
785.0142822,0.004726178478,785.0142822,0.01420541294,785.0142822,0.02899784222,
784.003418,0.004695770796,784.003418,0.01446549501,784.003418,0.02940164693,
782.9922485,0.004510493018,782.9922485,0.01478384715,782.9922485,0.02933774889,
782.0154419,0.004061570391,782.0154419,0.01549021527,782.0154419,0.0300387498,
781.0032959,0.004361375701,781.0032959,0.01543029025,781.0032959,0.03009800613,
779.9909668,0.004484572913,779.9909668,0.01534714922,779.9909668,0.03055215627,
779.0130615,0.004338314757,779.0130615,0.01568383351,779.0130615,0.03058495745,
777.9998779,0.00423910236,777.9998779,0.01589136757,777.9998779,0.03113541193,
776.9862671,0.00421123812,776.9862671,0.01588683017,776.9862671,0.03079904243,
776.0071411,0.004589570686,776.0071411,0.01579184271,776.0071411,0.03074166179,
774.9927979,0.004191086162,774.9927979,0.0160599146,774.9927979,0.03131145611,
774.0130005,0.004294757731,774.0130005,0.01588307135,774.0130005,0.03131894022,
772.9978638,0.004041608423,772.9978638,0.01648565754,772.9978638,0.03145634383,
772.017334,0.004248774145,772.017334,0.01664244011,772.017334,0.03177383915,
771.0014038,0.003923343029,771.0014038,0.01657264866,771.0014038,0.03227017447,
769.9851685,0.003802785883,769.9851685,0.01707922854,769.9851685,0.03240556642,
769.003479,0.003837413853,769.003479,0.01655428112,769.003479,0.03240882978,
767.9863892,0.003290112363,767.9863892,0.01703459024,767.9863892,0.03299670666,
767.0040283,0.00358395651,767.0040283,0.01683579385,767.0040283,0.03279136494,
765.986145,0.003369098529,765.986145,0.01710650325,765.986145,0.03292546794,
765.0031128,0.002547726035,765.0031128,0.01739888266,765.0031128,0.03362529352,
763.9844971,0.002571135061,763.9844971,0.01747567952,763.9844971,0.03361939266,
763.0006104,0.003069429658,763.0006104,0.01711627841,763.0006104,0.03332673386,
762.0164185,0.002811365528,762.0164185,0.01740322076,762.0164185,0.03388025984,
760.9967041,0.002453868277,760.9967041,0.01765085571,760.9967041,0.03415556252,
760.0117188,0.002512055216,760.0117188,0.01799804717,760.0117188,0.03429767862,
758.991272,0.002381919883,758.991272,0.01749228127,758.991272,0.03419838101,
758.0056152,0.001882671262,758.0056152,0.01798973791,758.0056152,0.03476751596,
756.984375,0.00166441733,756.984375,0.0183161106,756.984375,0.03471566737,
755.9979248,0.00142006774,755.9979248,0.01835269853,755.9979248,0.03510543332,
755.0111694,0.00103701232,755.0111694,0.01841832139,755.0111694,0.03549796343,
753.9888306,0.0009470864316,753.9888306,0.01839739084,753.9888306,0.03561750427,
753.0013428,0.0006444690516,753.0013428,0.01863975823,753.0013428,0.03557445854,
752.0134888,0.0004638394166,752.0134888,0.01842874661,752.0134888,0.03593794629,
750.9899902,0.0001049802886,750.9899902,0.0187101271,750.9899902,0.03635535017,
750.0014648,-0.0003173495352,750.0014648,0.01874204539,750.0014648,0.03645190224,
749.0125732,-0.0005388185382,749.0125732,0.01904575154,749.0125732,0.03654667363,
747.9879761,-0.001150039141,747.9879761,0.01935592294,747.9879761,0.03698780388,
746.9983521,-0.001303419704,746.9983521,0.01934455521,746.9983521,0.03681009263,
746.0083618,-0.001886091894,746.0083618,0.0194770582,746.0083618,0.03712086752,
744.982666,-0.002118406352,744.982666,0.01926691271,744.982666,0.03725129366,
743.9919434,-0.002931249328,743.9919434,0.0199822709,743.9919434,0.03775892779,
743.0008545,-0.003344396129,743.0008545,0.0200102441,743.0008545,0.03815282136,
742.0095215,-0.00381765957,742.0095215,0.02006372809,742.0095215,0.03815988824,
740.9822998,-0.004084281623,740.9822998,0.01985589787,740.9822998,0.03815293312,
739.9902344,-0.004504070617,739.9902344,0.01983029209,739.9902344,0.03790590167,
738.9978027,-0.005228787661,738.9978027,0.02022503503,738.9978027,0.03849400207,
738.0049438,-0.005804483779,738.0049438,0.02041575685,738.0049438,0.03895487264,
