Baseline 100%T,,CM52_frac_110-175_10x,,CM52_frac_110-175_10x1_repeat,,CM52_frac_176-240_10x,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
753.017334,-0.0167211853,753.017334,-0.0003010529908,753.017334,0.002168436069,753.017334,-0.001663761795,
751.9938354,-0.0170751866,751.9938354,0.0002838547225,751.9938354,0.00188875501,751.9938354,-0.001613525907,
751.005249,-0.01739413291,751.005249,-2.293436228E-005,751.005249,0.002402482787,751.005249,-0.001536974451,
750.0162354,-0.01733195409,750.0162354,-2.231313192E-005,750.0162354,0.001723694033,750.0162354,-0.002089708811,
748.9915771,-0.01769892871,748.9915771,2.143411075E-005,748.9915771,0.001871622168,748.9915771,-0.001894494053,
748.0018921,-0.01792278886,748.0018921,-0.0001326712081,748.0018921,0.00134862808,748.0018921,-0.002046478447,
747.0117798,-0.01834545098,747.0117798,-0.0002224587952,747.0117798,0.001859273296,747.0117798,-0.001757152262,
745.9860229,-0.01879085414,745.9860229,-7.977322821E-005,745.9860229,0.001937089371,745.9860229,-0.001913926681,
744.9952393,-0.01907980815,744.9952393,5.084301665E-005,744.9952393,0.002003736794,744.9952393,-0.001915266854,
744.0040894,-0.01938678883,744.0040894,4.34129397E-005,744.0040894,0.00188176136,744.0040894,-0.002032050164,
743.0126343,-0.01966906339,743.0126343,2.208129263E-005,743.0126343,0.001470298041,743.0126343,-0.002084298758,
741.9854126,-0.0203277301,741.9854126,7.253853983E-005,741.9854126,0.001875027781,741.9854126,-0.002022929257,
740.9931641,-0.02044519782,740.9931641,-0.0004568540608,740.9931641,0.001579375588,740.9931641,-0.002245384501,
740.0006714,-0.02083466947,740.0006714,-0.000400736928,740.0006714,0.001713090693,740.0006714,-0.002211905085,
739.0078125,-0.02149033919,739.0078125,6.604012742E-005,739.0078125,0.00191212853,739.0078125,-0.002041531727,
738.0145874,-0.0219917912,738.0145874,-0.0001432293211,738.0145874,0.001924296725,738.0145874,-0.001705534756,
736.9854736,-0.02230414934,736.9854736,-0.0003491131356,736.9854736,0.001392020262,736.9854736,-0.002103156177,
735.9915161,-0.02306110971,735.9915161,-0.0001973615435,735.9915161,0.001668730984,735.9915161,-0.001954387175,
734.9972534,-0.02341488749,734.9972534,-0.0001316878333,734.9972534,0.001341409516,734.9972534,-0.002046014648,
734.0025635,-0.0243686866,734.0025635,1.434106343E-005,734.0025635,0.001781705185,734.0025635,-0.001872637775,
733.0076294,-0.02488990501,733.0076294,-0.0001112436439,733.0076294,0.00174201664,733.0076294,-0.001960108057,
732.0122681,-0.02578559145,732.0122681,-0.0001271332731,732.0122681,0.001843987382,732.0122681,-0.001799638034,
731.0166016,-0.02640129067,731.0166016,-0.0001517687924,731.0166016,0.00163851073,731.0166016,-0.001826705062,
729.9849854,-0.02705460042,729.9849854,-0.0002785472025,729.9849854,0.001389864832,729.9849854,-0.002125516068,
728.9886475,-0.02794006094,728.9886475,-6.983472849E-005,728.9886475,0.001596263144,728.9886475,-0.001918153372,
727.9919434,-0.02846734039,727.9919434,-0.0003715635103,727.9919434,0.001681879861,727.9919434,-0.002000512555,
726.994812,-0.02896153182,726.994812,-0.0002366885601,726.994812,0.001702045789,726.994812,-0.002098158468,
725.9974365,-0.02952864021,725.9974365,-1.092374168E-005,725.9974365,0.001908670529,725.9974365,-0.002007881878,
724.9996948,-0.02972758375,724.9996948,-0.0001719005813,724.9996948,0.001700824359,724.9996948,-0.001931812265,
724.0015869,-0.03017195128,724.0015869,6.471974484E-005,724.0015869,0.002016921993,724.0015869,-0.00153661333,
723.0031738,-0.02992798202,723.0031738,-0.0003782880667,723.0031738,0.001952196704,723.0031738,-0.002095170086,
722.0043945,-0.03000355512,722.0043945,-0.0005155494437,722.0043945,0.001906226506,722.0043945,-0.001996235223,
721.005249,-0.03024719283,721.005249,-7.713950254E-006,721.005249,0.001972011058,721.005249,-0.001734257792,
720.0057983,-0.02996456251,720.0057983,-0.0001891852153,720.0057983,0.00203824765,720.0057983,-0.001833871123,
719.0060425,-0.02996809036,719.0060425,-5.994776438E-005,719.0060425,0.002243731637,719.0060425,-0.001751789707,
718.0058594,-0.02945883758,718.0058594,-0.0002017083898,718.0058594,0.001921202638,718.0058594,-0.001812682021,
717.0054321,-0.02948641218,717.0054321,-0.0001274955575,717.0054321,0.002343712142,717.0054321,-0.001676809858,
716.0045776,-0.02902250364,716.0045776,-5.953364598E-005,716.0045776,0.002118098782,716.0045776,-0.001671085251,
715.003418,-0.02846011519,715.003418,-0.0001686919713,715.003418,0.002025998197,715.003418,-0.001778962789,
714.0019531,-0.02787850052,714.0019531,-0.0003600280907,714.0019531,0.00212345738,714.0019531,-0.001960984198,
713.0001221,-0.02739182487,713.0001221,-0.0002607487259,713.0001221,0.002233401639,713.0001221,-0.001882947516,
711.9979858,-0.02676934935,711.9979858,-0.0003008977801,711.9979858,0.002066232963,711.9979858,-0.002048951807,
710.9954834,-0.02600668743,710.9954834,-0.0002873944468,710.9954834,0.002013385063,710.9954834,-0.002038852079,
709.9926758,-0.02566731349,709.9926758,-4.747227285E-005,709.9926758,0.002251303522,709.9926758,-0.001712393365,
708.9894409,-0.02477084473,708.9894409,0.0001047472615,708.9894409,0.002307042945,708.9894409,-0.001779787824,
707.9859619,-0.02413833141,707.9859619,-0.000112951675,707.9859619,0.002176475013,707.9859619,-0.001751325675,
706.9821167,-0.02327962406,706.9821167,-0.0001339133451,706.9821167,0.002215500688,706.9821167,-0.001713166945,
706.013855,-0.02246208675,706.013855,-0.0001968440629,706.013855,0.002495314227,706.013855,-0.001905679586,
705.0093384,-0.02203972451,705.0093384,-3.856838157E-005,705.0093384,0.002474668901,705.0093384,-0.001680987189,
704.0045166,-0.02106131054,704.0045166,-0.0003889436484,704.0045166,0.002450171625,704.0045166,-0.001987989526,
702.9993286,-0.02037105523,702.9993286,0.0001188587412,702.9993286,0.00243171514,702.9993286,-0.001847790438,
701.9938354,-0.01961215772,701.9938354,-0.0001074134852,701.9938354,0.002221615054,701.9938354,-0.001727708848,
700.9880371,-0.01884013414,700.9880371,-0.0001458688203,700.9880371,0.002303503687,700.9880371,-0.001763803884,
700.0178223,-0.01812846027,700.0178223,-0.0003021394368,700.0178223,0.002335201716,700.0178223,-0.001682018628,
699.0113525,-0.01744536124,699.0113525,-0.0002961897699,699.0113525,0.00208020024,699.0113525,-0.001936090179,
698.0045166,-0.01717059687,698.0045166,6.166475214E-005,698.0045166,0.002274670405,698.0045166,-0.001641326584,
696.9974365,-0.01646340825,696.9974365,-0.0001131069512,696.9974365,0.002190679777,696.9974365,-0.001789893489,
695.9900513,-0.01610426791,695.9900513,2.844961091E-005,695.9900513,0.002387828426,695.9900513,-0.001504884916,
694.9822388,-0.015463043,694.9822388,0.0001415675506,694.9822388,0.002203428419,694.9822388,-0.001650661812,
694.0100708,-0.01498460211,694.0100708,-0.000196016088,694.0100708,0.002174679888,694.0100708,-0.002032410819,
693.0015869,-0.01459740475,693.0015869,8.727036766E-005,693.0015869,0.002186231082,693.0015869,-0.001708010095,
691.9927979,-0.01414963137,691.9927979,4.600180182E-005,691.9927979,0.001928430982,691.9927979,-0.001632919535,
690.9838257,-0.01359493472,690.9838257,-0.0001144009075,690.9838257,0.001938415458,690.9838257,-0.001854801434,
690.010498,-0.01320639532,690.010498,-0.000126926243,690.010498,0.001954926876,690.010498,-0.002197945956,
689.0007324,-0.01279237494,689.0007324,-0.0001742811437,689.0007324,0.001852852176,689.0007324,-0.00178427354,
687.9906616,-0.01252370328,687.9906616,-0.0002752359142,687.9906616,0.002015621634,687.9906616,-0.001880988711,
687.0163574,-0.01198107656,687.0163574,-0.0003054505214,687.0163574,0.001730841002,687.0163574,-0.002138807671,
686.0057373,-0.01189882588,686.0057373,-8.386972695E-006,686.0057373,0.002014477272,686.0057373,-0.00164895982,
684.9946899,-0.0114167938,684.9946899,-0.0001501644292,684.9946899,0.00172075734,684.9946899,-0.001877070987,
683.9833374,-0.01127466187,683.9833374,-5.694875654E-006,683.9833374,0.00181830395,683.9833374,-0.001788707566,
683.0078125,-0.01071971375,683.0078125,-0.000384081417,683.0078125,0.001635340741,683.0078125,-0.001879339106,
681.9959106,-0.01053106971,681.9959106,-0.0002976901305,681.9959106,0.001785422093,681.9959106,-0.001936090179,
680.9835815,-0.0101916166,680.9835815,-0.0001407968375,680.9835815,0.001806554617,680.9835815,-0.001637974055,
680.0071411,-0.009985035285,680.0071411,-0.000132619447,680.0071411,0.001792388153,680.0071411,-0.002011798322,
678.9942017,-0.009663433768,678.9942017,-0.0003513892589,678.9942017,0.001604784979,678.9942017,-0.002008603187,
678.0171509,-0.009742059745,678.0171509,7.481109151E-006,678.0171509,0.001806918532,678.0171509,-0.001627503778,
677.0036621,-0.009328724816,677.0036621,-0.0002846523421,677.0036621,0.001756493235,677.0036621,-0.00193454395,
675.9897461,-0.009202431887,675.9897461,-0.0002672162955,675.9897461,0.002016817918,675.9897461,-0.0018888755,
675.0117798,-0.009065810591,675.0117798,-0.0001034797751,675.0117798,0.001907916507,675.0117798,-0.001907844446,
673.9972534,-0.008825668134,673.9972534,-0.0001637237729,673.9972534,0.001819707686,673.9972534,-0.001731885714,
672.9824829,-0.008867164142,672.9824829,0.0001278437267,672.9824829,0.002260826994,672.9824829,-0.001485176035,
672.0036011,-0.008390741423,672.0036011,-5.20794456E-005,672.0036011,0.001815418596,672.0036011,-0.001770249102,
670.9881592,-0.008234916255,670.9881592,3.028763967E-005,670.9881592,0.001834368915,670.9881592,-0.001853976632,
670.008728,-0.008319946006,670.008728,-5.202768079E-005,670.008728,0.002105301013,670.008728,-0.001580771408,
668.9926147,-0.007917812094,668.9926147,-0.0001867529936,668.9926147,0.001856335672,668.9926147,-0.001922070631,
668.0125732,-0.00784099102,668.0125732,-0.0004054438032,668.0125732,0.00181827799,668.0125732,-0.001954954118,
666.9958496,-0.008282309398,666.9958496,-7.935912436E-005,666.9958496,0.001601849101,666.9958496,-0.001971807098,
666.0151978,-0.008678524755,666.0151978,-0.0001294623216,666.0151978,0.001783108688,666.0151978,-0.001729668351,
664.9979248,-0.008817754686,664.9979248,-0.0001281166478,664.9979248,0.001986157382,664.9979248,-0.001773445867,
664.0166016,-0.008802433498,664.0166016,-0.0001506302069,664.0166016,0.001630118,664.0166016,-0.001956551801,
662.9987183,-0.008829422295,662.9987183,-0.0003784432483,662.9987183,0.001699083252,662.9987183,-0.001999481814,
662.0169067,-0.008870562539,662.0169067,-0.0001127446449,662.0169067,0.001571529661,662.0169067,-0.00198809267,
660.9983521,-0.008978339843,660.9983521,-0.0001900649513,660.9983521,0.001858285512,660.9983521,-0.001960984198,
660.0158691,-0.009003999643,660.0158691,-0.0002123165759,660.0158691,0.001840659883,660.0158691,-0.001864389866,
658.9967651,-0.008943245746,658.9967651,-0.0002994491661,658.9967651,0.001587091829,658.9967651,-0.002172756474,
658.0137329,-0.008985946886,658.0137329,-0.0004049782874,658.0137329,0.001739859465,658.0137329,-0.002115727169,
656.9940186,-0.009305161424,656.9940186,-0.0001469556591,656.9940186,0.001941171708,656.9940186,-0.001627503778,
