Baseline 100%T,,SAM synthesis rotovap 200x,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
706.9821167,-0.02339394204,706.9821167,-0.0006809398765,
706.013855,-0.02293457463,706.013855,-0.001154221594,
705.0093384,-0.02170619741,705.0093384,-0.001103152055,
704.0045166,-0.02074845135,704.0045166,-0.001559827826,
702.9993286,-0.0205920618,702.9993286,-0.0008155736141,
701.9938354,-0.01961671002,701.9938354,-0.000958585937,
700.9880371,-0.01918547787,700.9880371,-0.0009390588384,
700.0178223,-0.01852800325,700.0178223,-0.0009153978899,
699.0113525,-0.01775951497,699.0113525,-0.0008843473624,
698.0045166,-0.0172464326,698.0045166,-0.0004952267627,
696.9974365,-0.01635258645,696.9974365,-0.001292683301,
695.9900513,-0.01615066081,695.9900513,-0.0004977089702,
694.9822388,-0.01537520252,694.9822388,-0.0008043083944,
694.0100708,-0.01471077744,694.0100708,-0.0009692789754,
693.0015869,-0.01437873486,693.0015869,-0.001362826559,
691.9927979,-0.01450112741,691.9927979,-0.0004457346513,
690.9838257,-0.01369106211,690.9838257,-0.0006459954893,
690.010498,-0.0134290196,690.010498,2.208129263E-005,
689.0007324,-0.01265275478,689.0007324,-0.001375780441,
687.9906616,-0.01202544477,687.9906616,-0.001164754853,
687.0163574,-0.0119922068,687.0163574,-0.001402822323,
686.0057373,-0.01194330305,686.0057373,-0.001037873444,
684.9946899,-0.01136111654,684.9946899,-0.0006287290016,
683.9833374,-0.01119414438,683.9833374,-0.0006017423002,
683.0078125,-0.0101470612,683.0078125,-0.001760864747,
681.9959106,-0.01035043132,681.9959106,-0.001129901037,
680.9835815,-0.01001670677,680.9835815,-0.001459377701,
680.0071411,-0.009809029289,680.0071411,-0.0007856528973,
678.9942017,-0.009527717717,678.9942017,-0.001473721699,
678.0171509,-0.009505836293,678.0171509,-0.00216533849,
677.0036621,-0.009515865706,677.0036621,-0.000907183392,
675.9897461,-0.008775696158,675.9897461,-0.001343524083,
675.0117798,-0.009286360815,675.0117798,-0.0007564019179,
673.9972534,-0.008782799356,673.9972534,-0.001251490088,
672.9824829,-0.008773615584,672.9824829,-0.001067983336,
672.0036011,-0.008419330232,672.0036011,-0.000888118986,
670.9881592,-0.00853143353,670.9881592,-0.0006948445225,
670.008728,-0.007839465514,670.008728,-0.0009738247027,
668.9926147,-0.008170244284,668.9926147,-0.0009759942768,
668.0125732,-0.007136411499,668.0125732,-0.001500086742,
666.9958496,-0.008936195634,666.9958496,-0.0006037069252,
666.0151978,-0.008252949454,666.0151978,-0.001506174798,
664.9979248,-0.008640665561,664.9979248,-0.001086833305,
664.0166016,-0.009140640497,664.0166016,-0.000566636445,
662.9987183,-0.008841191418,662.9987183,-0.001525108819,
662.0169067,-0.008488180116,662.0169067,-0.001695323968,
660.9983521,-0.008615999483,660.9983521,-0.001337898313,
660.0158691,-0.009309418499,660.0158691,-0.0004503893142,
658.9967651,-0.009252811782,658.9967651,-0.0008101477288,
658.0137329,-0.009917181917,658.0137329,-0.0005150840734,
656.9940186,-0.009224176407,656.9940186,-0.001139660366,
656.010376,-0.009310127236,656.010376,-0.0009773373604,
654.9900513,-0.009235630743,654.9900513,-0.001480584033,
654.0057983,-0.009414655156,654.0057983,-0.0009189625853,
652.9848022,-0.009410298429,652.9848022,-0.0009932469111,
652.000061,-0.009849013761,652.000061,-0.0007408970851,
651.0149536,-0.00929654669,651.0149536,-0.001307961997,
649.993103,-0.009457917884,649.993103,-0.0008825906552,
649.0074463,-0.009663333185,649.0074463,-0.001204768778,
647.9849243,-0.009809738025,647.9849243,-0.000496002438,
646.9987183,-0.0103274798,646.9987183,-0.0002184743789,
646.012207,-0.009853417054,646.012207,-0.0008961788262,
644.9888306,-0.009480611421,644.9888306,-0.001676809858,
644.001709,-0.009796628729,644.001709,-0.0008217745344,
643.0143433,-0.009432639927,643.0143433,-0.001552244532,
641.9901123,-0.009633762762,641.9901123,-0.0008734972216,
641.0021362,-0.00989608001,641.0021362,-0.0009226822876,
640.013916,-0.01037469599,640.013916,-0.0004609397147,
638.9887695,-0.00981874764,638.9887695,-0.0004611465847,
637.9998779,-0.009356694296,637.9998779,-0.00111776602,
637.0108643,-0.009765295312,637.0108643,-0.001177921193,
635.9848022,-0.01010224875,635.9848022,-0.0003817537508,
634.9951782,-0.009334805422,634.9951782,-0.001470832271,
634.005188,-0.009665257297,634.005188,-0.0009150878759,
633.0150146,-0.00988605991,633.0150146,-0.0008964371518,
631.987854,-0.009632749483,631.987854,-0.001192842494,
630.9970093,-0.009529743344,630.9970093,-0.0009126597433,
630.0059814,-0.01003906783,630.0059814,-0.0008726705564,
629.0146484,-0.009617862292,629.0146484,-0.001372942002,
627.9862671,-0.009798754007,627.9862671,-0.0009422100848,
626.9943848,-0.009544380009,626.9943848,-0.001398642198,
626.0022583,-0.01001888234,626.0022583,-0.0007576940116,
625.0097656,-0.009977445938,625.0097656,-0.0009407636244,
624.0170898,-0.009811813012,624.0170898,-0.0004243225267,
622.9873047,-0.009760840796,622.9873047,-0.00104587886,
621.9939575,-0.009800576605,621.9939575,-0.0007258052356,
621.0004883,-0.009444797412,621.0004883,-0.001073767547,
620.0065918,-0.01007412374,620.0065918,-0.0006239728536,
619.0125122,-0.009979723021,619.0125122,-0.00110103481,
618.0181274,-0.009977040812,618.0181274,-0.0006435658433,
616.9866333,-0.009942785837,616.9866333,-0.0009339961107,
615.9917603,-0.009953158908,615.9917603,-0.001421606052,
614.996582,-0.009991865605,614.996582,-0.001381199225,
614.0011597,-0.01042418182,614.0011597,-0.001078363857,
613.0053101,-0.009957965463,613.0053101,-0.001156183658,
612.0093384,-0.01013896894,612.0093384,-0.001317304443,
611.0131226,-0.01041467953,611.0131226,-0.0008929756004,
610.0165405,-0.01017037686,610.0165405,-0.001192481024,
608.9828491,-0.01077208854,608.9828491,-0.0006888484932,
607.9857178,-0.01031337492,607.9857178,-0.00107758923,
606.9883423,-0.01034709532,606.9883423,-0.001386360032,
605.9907837,-0.01045961212,605.9907837,-0.001133205835,
604.9929199,-0.01074506901,604.9929199,-0.000887653965,
603.994751,-0.01053253468,603.994751,-0.0007034764858,
