Baseline 100%T,,TigE 200,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
700.9876709,-0.013682032,700.9876709,0.04551294819,
700.0175781,-0.01292054262,700.0175781,0.04580197111,
699.0111694,-0.01219229866,699.0111694,0.04609864205,
698.0044556,-0.01153024286,698.0044556,0.04623302817,
696.9974365,-0.01071420778,696.9974365,0.0464673005,
695.9900513,-0.01035664976,695.9900513,0.0469282344,
694.9822998,-0.009632901289,694.9822998,0.04716351256,
694.0103149,-0.009177950211,694.0103149,0.04723375291,
693.0019531,-0.008674414828,693.0019531,0.04745300114,
691.9932861,-0.008205502294,691.9932861,0.04737034068,
690.9842529,-0.007731658872,690.9842529,0.04795984551,
690.0109863,-0.007401971612,690.0109863,0.04827170819,
689.0012817,-0.006840010174,689.0012817,0.0482924208,
687.991394,-0.006447316147,687.991394,0.04850352183,
687.0171509,-0.006317376625,687.0171509,0.04911688343,
686.0065308,-0.005990034435,686.0065308,0.04948205128,
684.9956055,-0.005691163708,684.9956055,0.04968789965,
683.984314,-0.005137982778,683.984314,0.04968813062,
683.0089111,-0.004830281716,683.0089111,0.04977666214,
681.9970093,-0.004817737732,681.9970093,0.05048471689,
680.9848022,-0.004281693138,680.9848022,0.05046212673,
680.0084839,-0.003918181639,680.0084839,0.05068807304,
678.9956665,-0.003781170351,678.9956665,0.05109704658,
677.9824829,-0.003221284831,677.9824829,0.05121519417,
677.005127,-0.003391504288,677.005127,0.05176926032,
675.991394,-0.002931609284,675.991394,0.05194260925,
675.0134888,-0.002590690972,675.0134888,0.0517869629,
673.9990845,-0.002387360437,673.9990845,0.05199597403,
672.984375,-0.002488574479,672.984375,0.0526124835,
672.0055542,-0.002187437611,672.0055542,0.05280607939,
670.9901733,-0.002075281925,670.9901733,0.05281949788,
670.0108032,-0.001805257751,670.0108032,0.05313554034,
668.994873,-0.001706102048,668.994873,0.05362616107,
668.0148926,-0.001574632828,668.0148926,0.05368986726,
666.99823,-0.002308113035,666.99823,0.05431066453,
666.0176392,-0.002459849697,666.0176392,0.05448142067,
665.0004883,-0.002553892555,665.0004883,0.0543185547,
663.9829102,-0.002985960571,663.9829102,0.05523270741,
663.0014038,-0.002934334567,663.0014038,0.05513470992,
661.9833374,-0.002822423121,661.9833374,0.05516292527,
661.0012207,-0.003097830107,661.0012207,0.05571345985,
659.9824219,-0.002897771075,659.9824219,0.05559258163,
658.9998169,-0.003041590564,658.9998169,0.05604336783,
658.0168457,-0.002995061455,658.0168457,0.05634048954,
