Baseline 100%Tv1,,Baseline 100%Tv2,,100,,200,,100_v2,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
599.9995117,0.002727870131,759.9956055,-0.002574736951,759.9956055,2.444413662,759.9956055,0.01215310208,759.9956055,0.04613122717,
594.9996338,0.002153425245,759.0098877,-0.002911707852,759.0098877,2.447164059,759.0098877,0.0120683508,759.0098877,0.04601332918,
589.993103,0.0009647276602,757.9885864,-0.003120395821,757.9885864,2.46983552,757.9885864,0.01197901182,757.9885864,0.04659667239,
585.0172729,1.900071584E-005,757.0020752,-0.003225447377,757.0020752,2.523220539,757.0020752,0.01179163903,757.0020752,0.04671394825,
579.9979858,-0.000845853996,756.0152588,-0.003604839556,756.0152588,2.461780787,756.0152588,0.01227701176,756.0152588,0.04710473865,
575.0095215,-0.001880885568,754.9928589,-0.003884420265,754.9928589,2.499093771,754.9928589,0.01222391892,754.9928589,0.04712418467,
570.0148926,-0.003694990417,754.005249,-0.004274823703,754.005249,2.494087934,754.005249,0.01242772676,754.005249,0.04771829769,
565.0140381,-0.005562990904,753.017334,-0.004434227943,753.017334,2.565830469,753.017334,0.01234792825,753.017334,0.04766213521,
560.0071411,-0.006873033009,751.9938354,-0.004706515465,751.9938354,2.464915752,751.9938354,0.01198720746,751.9938354,0.04789648205,
554.9941406,-0.007998278365,751.005249,-0.005021571182,751.005249,2.44195056,751.005249,0.01250010729,751.005249,0.04834559932,
550.0126953,-0.008784321137,750.0162354,-0.00539321173,750.0162354,2.472233057,750.0162354,0.01256645005,750.0162354,0.04831814021,
544.9877319,-0.008286830038,748.9915771,-0.005825121421,748.9915771,2.460501671,748.9915771,0.01275359839,748.9915771,0.04924554005,
539.9946289,-0.006026593968,748.0018921,-0.006301354617,748.0018921,2.402871609,748.0018921,0.01304159407,748.0018921,0.04928871617,
534.9956665,-0.003981181886,747.0117798,-0.00636079628,747.0117798,2.492595911,747.0117798,0.01233146992,747.0117798,0.04953575507,
529.9910278,-0.001281069126,745.9860229,-0.007083239034,745.9860229,2.488069773,745.9860229,0.01300827786,745.9860229,0.04997233674,
525.0183716,0.002652464667,744.9952393,-0.007447420154,744.9952393,2.516235113,744.9952393,0.01303991303,744.9952393,0.05062020943,
520.0025635,0.004098335747,744.0040894,-0.007891223766,744.0040894,2.52406621,744.0040894,0.01302860305,744.0040894,0.05060246587,
514.9812012,0.006031836849,743.0126343,-0.008125175722,743.0126343,2.488062143,743.0126343,0.01290898584,743.0126343,0.0505137369,
509.992157,0.006936339196,741.9854126,-0.008643507957,741.9854126,2.525853872,741.9854126,0.01297331136,741.9854126,0.05107136443,
504.9977722,0.007057611831,740.9931641,-0.009310127236,740.9931641,2.537415743,740.9931641,0.0129551487,740.9931641,0.05101913214,
499.9981079,0.006854466628,740.0006714,-0.009619584307,740.0006714,2.493952274,740.0006714,0.01318638399,740.0006714,0.05132591724,
494.9931335,0.005746719427,739.0078125,-0.01032222249,739.0078125,2.516927481,739.0078125,0.01310287043,739.0078125,0.05213786289,
489.9830627,0.004728088621,738.0145874,-0.01077971514,738.0145874,2.498493433,738.0145874,0.01302636229,738.0145874,0.05201645941,
485.0058289,0.005338786636,736.9854736,-0.01122118719,736.9854736,2.526274681,736.9854736,0.01332153287,736.9854736,0.05243521184,
479.9855957,0.007337351795,735.9915161,-0.01202327944,735.9915161,2.471774101,735.9915161,0.01349701639,735.9915161,0.05268592015,
474.9982605,0.01055309456,734.9972534,-0.01280041784,734.9972534,2.539405107,734.9972534,0.01341491193,734.9972534,0.05314680189,
470.0061035,0.01333853602,734.0025635,-0.01352578588,734.0025635,2.519529581,734.0025635,0.01341507211,734.0025635,0.05343685299,
465.0091553,0.016021505,733.0076294,-0.01402483415,733.0076294,2.459610462,733.0076294,0.01320631709,733.0076294,0.05365852267,
460.0073242,0.0178429056,732.0122681,-0.01466077752,732.0122681,2.476191998,732.0122681,0.01352580357,732.0122681,0.0539371036,
455.0007629,0.01837716438,731.0166016,-0.01554801781,731.0166016,2.50002861,731.0166016,0.01376915257,731.0166016,0.0542611219,
449.989563,0.01886606589,729.9849854,-0.01613280363,729.9849854,2.477955818,729.9849854,0.01387334615,729.9849854,0.0544619672,
445.0119019,0.0195588544,728.9886475,-0.01691433042,728.9886475,2.514797688,728.9886475,0.01403539069,728.9886475,0.05486822501,
439.9914551,0.01902300678,727.9919434,-0.01747758873,727.9919434,2.514630795,727.9919434,0.01402670145,727.9919434,0.05511578172,
435.0048218,0.01924764551,726.994812,-0.01799203642,726.994812,2.519347429,726.994812,0.01431795023,726.994812,0.05593267456,
430.0137634,0.01876810007,725.9974365,-0.01829209365,725.9974365,2.522062778,725.9974365,0.01409146003,725.9974365,0.05601609871,
425.0183716,0.0186991822,724.9996948,-0.01854224131,724.9996948,2.530433416,724.9996948,0.01429711003,724.9996948,0.05624819547,
420.0185852,0.01786505058,724.0015869,-0.01873740368,724.0015869,2.49337554,724.0015869,0.01404942758,724.0015869,0.05647634715,
415.0145569,0.0170145873,723.0031738,-0.01903362758,723.0031738,2.498538017,723.0031738,0.01468910091,723.0031738,0.05693838,
410.0063171,0.01617951691,722.0043945,-0.01897579618,722.0043945,2.467827797,722.0043945,0.01451666839,722.0043945,0.05673263967,
404.993927,0.01526096836,721.005249,-0.01907445677,721.005249,2.519394636,721.005249,0.01462527085,721.005249,0.05756292492,
400.0159607,0.01574940421,720.0057983,-0.01854228973,720.0057983,2.524852276,720.0057983,0.01439728215,720.0057983,0.05782488734,
394.9954224,0.01714686677,719.0060425,-0.01856208406,719.0060425,2.568337202,719.0060425,0.01459279656,719.0060425,0.05816531554,
390.009491,0.01870442368,718.0058594,-0.01825426891,718.0058594,2.521823883,718.0058594,0.01483307499,718.0058594,0.05841034651,
384.9810181,0.02117978409,717.0054321,-0.01776055805,717.0054321,2.536995649,717.0054321,0.01463383809,717.0054321,0.05845657364,
379.9872742,0.02389734983,716.0045776,-0.01721986197,716.0045776,2.540338755,716.0045776,0.01459119096,716.0045776,0.05914538726,
374.9897461,0.02758933976,715.003418,-0.01673981734,715.003418,2.519907475,715.003418,0.01482327189,715.003418,0.05934740975,
369.9884949,0.03026508354,714.0019531,-0.01610501669,714.0019531,2.469929695,714.0019531,0.01483757515,714.0019531,0.05943422019,
364.9835205,0.03263123706,713.0001221,-0.01566004381,713.0001221,2.508949041,713.0001221,0.01515582483,713.0001221,0.05976622552,
360.0137329,0.03463331982,711.9979858,-0.01518157125,711.9979858,2.500729799,711.9979858,0.01540628541,711.9979858,0.06045242026,
355.0015564,0.03582362831,710.9954834,-0.0142286513,710.9954834,2.518770218,710.9954834,0.01504703611,710.9954834,0.06053091213,
349.9858093,0.0370330736,709.9926758,-0.0133234961,709.9926758,2.53511095,709.9926758,0.01522442512,709.9926758,0.06054984033,
345.0054321,0.03816025332,708.9894409,-0.01242148131,708.9894409,2.550032377,708.9894409,0.01481231768,708.9894409,0.06075102463,
339.9827881,0.03880392015,707.9859619,-0.01194415893,707.9859619,2.521734953,707.9859619,0.01555591729,707.9859619,0.06119379029,
334.9956665,0.03983619809,706.9821167,-0.01096350607,706.9821167,2.524757862,706.9821167,0.01537308283,706.9821167,0.06157262996,
330.0052185,0.04209870473,706.013855,-0.01032247487,706.013855,2.521998167,706.013855,0.01568710804,706.013855,0.06192149967,
325.0115662,0.046002049,705.0093384,-0.009276783094,705.0093384,2.520552397,705.0093384,0.01547143795,705.0093384,0.06212633848,
320.014679,0.05256506056,704.0045166,-0.008575850166,704.0045166,2.540378094,704.0045166,0.01545711327,704.0045166,0.06277074665,
315.0146484,0.06220343336,702.9993286,-0.007761257701,702.9993286,2.520460129,702.9993286,0.01548731793,702.9993286,0.06274586171,
310.0115356,0.07079459727,701.9938354,-0.007008868735,701.9938354,2.559805393,701.9938354,0.01555645373,701.9938354,0.06273228675,
305.0053406,0.08108905703,700.9880371,-0.006249764469,700.9880371,2.544373751,700.9880371,0.0156213874,700.9880371,0.06327702105,
299.9961548,0.09086924046,700.0178223,-0.005512897391,700.0178223,2.560964108,700.0178223,0.01573477499,700.0178223,0.06367944181,
294.9840088,0.09974531084,699.0113525,-0.004403581843,699.0113525,2.53507781,699.0113525,0.01566300914,699.0113525,0.06354410201,
290.0081482,0.1029322967,698.0045166,-0.003826691769,698.0045166,2.51129365,698.0045166,0.01585340314,698.0045166,0.06430274993,
284.9902649,0.1072023511,696.9974365,-0.003319016425,696.9974365,2.544652939,696.9974365,0.01588865556,696.9974365,0.06465198845,
280.0087891,0.1094679534,695.9900513,-0.002861153102,695.9900513,2.50655961,695.9900513,0.01579933241,695.9900513,0.06481631845,
274.985321,0.1126373336,694.9822388,-0.002117478987,694.9822388,2.535946369,694.9822388,0.01583197713,694.9822388,0.06518293172,
269.9985046,0.1203745306,694.0100708,-0.001625492238,694.0100708,2.510234594,694.0100708,0.01578362845,694.0100708,0.06509087235,
